date,dow_jones_adj_close_price,nasdaq_adj_close_price,sp_adj_close_price,usd_to_eur_exchange_rate,usd_to_uk_exchange_rate,jp_to_usd_exchange_rate,henry_hub_nat_gas_price,cushing_crude_oil_price,treasury_1_year_rate,treasury_10_year_rate,breakeven_inflation_5_year_rate,breakeven_inflation_10_year_rate,bank_prime_loan_rate,federal_funds_rate,natural_gas_futures_contract_1_price,natural_gas_futures_contract_2_price,natural_gas_futures_contract_3_price,natural_gas_futures_contract_4_price,cushing_crude_futures_contract_1_price,cushing_crude_futures_contract_2_price,cushing_crude_futures_contract_3_price,cushing_crude_futures_contract_4_price,Momentum_5,Momentum_10,MA_5,MA_10
2003-01-16,9.070833447081302,7.261049514761392,6.818486811223955,1.0569,1.6073,118.02,1.7047480922384253,3.5139306516493947,1.37,4.1,1.4,1.79,4.25,1.24,1.7307701976016252,1.7233021685831473,1.6530719494541617,1.6130314479442305,3.51631018876266,3.4907333469730104,3.4604092412940015,3.42816382989197,4.0,5.0,3.483446529627147,3.472389485575335
2003-01-17,9.057974431886382,7.22707409035628,6.804370587874562,1.066,1.6173,117.88,1.7334238922150915,3.522824869783854,1.34,4.05,1.45,1.8,4.25,1.2,1.7112722183153684,1.7052933980776217,1.63860828973388,1.6010024336129989,3.523709956137547,3.495294705041271,3.464485120898074,3.432372999130605,4.0,6.0,3.4974433806211187,3.474236425177242
2003-01-20,9.057974431886382,7.22707409035628,6.804370587874562,1.066,1.6173,117.88,1.7334238922150915,3.522824869783854,1.34,4.05,1.45,1.8,4.25,1.2,1.7112722183153684,1.7052933980776217,1.63860828973388,1.6010024336129989,3.523709956137547,3.495294705041271,3.464485120898074,3.432372999130605,4.0,6.0,3.4974433806211187,3.474236425177242
2003-01-21,9.041081130468125,7.218360106066341,6.788543723476957,1.0677,1.6123,118.57,1.6992786164338898,3.544431549748063,1.33,4.01,1.38,1.78,4.25,1.31,1.692491467569386,1.692307390256395,1.6345206928015634,1.5983769650746755,3.544142657647253,3.502248625731883,3.4660483539817717,3.4326960487215263,4.0,6.0,3.4974433806211187,3.474236425177242
2003-01-22,9.02626487793317,7.214857552673397,6.778056532377791,1.0729,1.6162,118.15,1.7439688053917064,3.5357282746197614,1.31,3.95,1.34,1.72,4.25,1.26,1.7357180783444301,1.7241941497322888,1.6549847273900706,1.6130314479442305,3.4919517449306197,3.459151774922711,3.4265401893339504,3.393837027255863,4.0,6.0,3.4974433806211187,3.474236425177242
2003-01-23,9.032345840092736,7.23581364664499,6.788228223406732,1.0767,1.6233,117.83,1.8794650496471605,3.5234150143864045,1.33,3.98,1.42,1.78,4.25,1.27,1.6970824222861467,1.6910178994265233,1.634130525024472,1.5951361277232408,3.4735180432417816,3.4464893708538624,3.4164143474670157,3.386083743852107,4.0,6.0,3.4974433806211187,3.474236425177242
2003-01-24,9.003440426068106,7.202020633998076,6.75855897262001,1.0825,1.632,117.8,1.776645831418007,3.554776469590456,1.31,3.94,1.46,1.8,4.25,1.21,1.7091022355470458,1.698364121628502,1.6298286020818344,1.5871923034867805,3.5049566159530077,3.4707234443107655,3.4378506993101907,3.40552135314221,4.0,6.0,3.4974433806211187,3.474236425177242
2003-01-27,8.985890968407931,7.189371491246211,6.74226724015609,1.0838,1.6351,118.64,1.776645831418007,3.4790839203192268,1.31,3.98,1.47,1.82,4.25,1.3,1.6856579383455095,1.6660072639219947,1.602413297497136,1.5665304114228238,3.4747575847701837,3.4464893708538624,3.4173987610001633,3.3877743613300146,1.0,6.0,3.5274870457327823,3.474236425177242
2003-01-28,8.99824061287425,7.202050436704164,6.7552332721466986,1.0833,1.64,118.67,1.7083778602890038,3.487375077903208,1.34,4.0,1.47,1.81,4.25,1.23,1.6945140847892197,1.6787773905127132,1.6094379124341003,1.5706970841176697,3.4864572256129787,3.4600950229096408,3.43204984514492,3.4035279970004377,2.0,6.0,3.516075751363812,3.474236425177242
2003-01-29,9.000940689516721,7.213812489764121,6.761989348689272,1.0861,1.6457,118.13,1.724550719534605,3.5127387563950627,1.36,4.06,1.52,1.85,4.25,1.26,1.7334238922150915,1.7279318064818894,1.655175804107954,1.6032186126201835,3.515418525752178,3.4876808415502927,3.456947396766647,3.4258899942525267,3.0,6.0,3.5114778477188713,3.474236425177242
